id;ticket_id;timestamp;user_id;action;fromValue;toValue;comment
h-tk14-3;tk14;2026-02-02T10:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk15-1;tk15;2026-02-04T14:00:00Z;u4;CREATED;;;Ticket créé
h-tk15-2;tk15;2026-02-04T15:00:00.000Z;u2;ASSIGNED;;u5;
h-tk15-3;tk15;2026-02-05T14:00:00.000Z;u5;STATUS_CHANGE;OPEN;WAITING_FEEDBACK;
h-tk16-1;tk16;2026-02-08T08:00:00Z;u2;CREATED;;;Ticket créé
h-tk16-2;tk16;2026-02-08T09:00:00.000Z;u2;ASSIGNED;;u3;
h-tk16-3;tk16;2026-02-09T08:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk17-1;tk17;2026-02-12T10:00:00Z;u2;CREATED;;;Ticket créé
h-tk17-2;tk17;2026-02-12T11:00:00.000Z;u2;ASSIGNED;;u7;
h-tk18-1;tk18;2026-02-06T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk18-2;tk18;2026-02-06T10:00:00.000Z;u2;ASSIGNED;;u7;
h-tk18-3;tk18;2026-02-07T09:00:00.000Z;u7;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk19-1;tk19;2026-01-20T11:00:00Z;u4;CREATED;;;Ticket créé
h-tk19-2;tk19;2026-01-20T12:00:00.000Z;u2;ASSIGNED;;u7;
h-tk19-3;tk19;2026-01-21T11:00:00.000Z;u7;STATUS_CHANGE;OPEN;RESOLVED;
h-tk19-4;tk19;2026-01-30T11:00:00.000Z;u7;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk20-1;tk20;2026-02-10T08:00:00Z;u2;CREATED;;;Ticket créé
h-tk20-2;tk20;2026-02-10T09:00:00.000Z;u2;ASSIGNED;;u3;
h-tk20-3;tk20;2026-02-11T08:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk21-1;tk21;2026-01-28T08:00:00Z;u2;CREATED;;;Ticket créé
h-tk21-2;tk21;2026-01-28T09:00:00.000Z;u2;ASSIGNED;;u5;
h-tk21-3;tk21;2026-01-29T08:00:00.000Z;u5;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk21-4;tk21;2026-02-07T08:00:00.000Z;u5;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk21-5;tk21;2026-02-12T08:00:00.000Z;u2;STATUS_CHANGE;RESOLVED;CLOSED;
h-tk22-1;tk22;2026-02-01T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk22-2;tk22;2026-02-01T10:00:00.000Z;u2;ASSIGNED;;u7;
h-tk22-3;tk22;2026-02-02T09:00:00.000Z;u7;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk22-4;tk22;2026-02-11T09:00:00.000Z;u7;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk22-5;tk22;2026-02-16T09:00:00.000Z;u2;STATUS_CHANGE;RESOLVED;CLOSED;
h-tk23-1;tk23;2026-02-15T10:00:00Z;u2;CREATED;;;Ticket créé
h-tk23-2;tk23;2026-02-15T11:00:00.000Z;u2;ASSIGNED;;u5;
h-tk23-3;tk23;2026-02-16T10:00:00.000Z;u5;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk24-1;tk24;2026-02-10T09:00:00Z;u4;CREATED;;;Ticket créé
h-tk24-2;tk24;2026-02-10T10:00:00.000Z;u2;ASSIGNED;;u3;
h-tk24-3;tk24;2026-02-11T09:00:00.000Z;u3;STATUS_CHANGE;OPEN;RESOLVED;
h-tk24-4;tk24;2026-02-20T09:00:00.000Z;u3;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk25-1;tk25;2026-02-18T10:00:00Z;u2;CREATED;;;Ticket créé
h-tk25-2;tk25;2026-02-18T11:00:00.000Z;u2;ASSIGNED;;u7;
h-tk26-1;tk26;2026-01-30T08:00:00Z;u2;CREATED;;;Ticket créé
h-tk26-2;tk26;2026-01-30T09:00:00.000Z;u2;ASSIGNED;;u3;
h-tk26-3;tk26;2026-01-31T08:00:00.000Z;u3;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk26-4;tk26;2026-02-09T08:00:00.000Z;u3;STATUS_CHANGE;IN_PROGRESS;RESOLVED;
h-tk26-5;tk26;2026-02-14T08:00:00.000Z;u2;STATUS_CHANGE;RESOLVED;CLOSED;
h-tk27-1;tk27;2026-02-17T14:00:00Z;u4;CREATED;;;Ticket créé
h-tk27-2;tk27;2026-02-17T15:00:00.000Z;u2;ASSIGNED;;u5;
h-tk28-1;tk28;2026-02-14T09:00:00Z;u2;CREATED;;;Ticket créé
h-tk28-2;tk28;2026-02-14T10:00:00.000Z;u2;ASSIGNED;;u5;
h-tk28-3;tk28;2026-02-15T09:00:00.000Z;u5;STATUS_CHANGE;OPEN;IN_PROGRESS;
h-tk29-1;tk29;2026-02-13T10:00:00Z;u4;CREATED;;;Ticket créé
h-tk29-2;tk29;2026-02-13T11:00:00.000Z;u2;ASSIGNED;;u7;
h-tk29-3;tk29;2026-02-14T10:00:00.000Z;u7;STATUS_CHANGE;OPEN;WAITING_FEEDBACK;
h-tk30-1;tk30;2026-02-20T09:00:00Z;u2;CREATED;;;Ticket créé
h-tk30-2;tk30;2026-02-20T10:00:00.000Z;u2;ASSIGNED;;u7;
