id;abaque_id;devType;complexite;priorite;standardDays;maxDays;notes
abq-p3-v1-e47;abq-p3-v1;Enhancement;Très Complexe;2;14;21;Revue architecturale obligatoire
abq-p3-v1-e48;abq-p3-v1;Enhancement;Très Complexe;3;14;21;Revue architecturale obligatoire
abq-p3-v1-e49;abq-p3-v1;Programme;Simple;0;3;5;
abq-p3-v1-e50;abq-p3-v1;Programme;Simple;1;2;3;
abq-p3-v1-e51;abq-p3-v1;Programme;Simple;2;2;3;
abq-p3-v1-e53;abq-p3-v1;Programme;Moyen;0;6;9;
abq-p3-v1-e55;abq-p3-v1;Programme;Moyen;2;5;8;
abq-p3-v1-e56;abq-p3-v1;Programme;Moyen;3;5;8;
abq-p3-v1-e57;abq-p3-v1;Programme;Complexe;0;10;15;
abq-p3-v1-e58;abq-p3-v1;Programme;Complexe;1;10;15;
abq-p3-v1-e59;abq-p3-v1;Programme;Complexe;2;9;14;
abq-p3-v1-e60;abq-p3-v1;Programme;Complexe;3;9;14;
abq-p3-v1-e61;abq-p3-v1;Programme;Très Complexe;0;19;29;Revue architecturale obligatoire
abq-p3-v1-e62;abq-p3-v1;Programme;Très Complexe;1;19;29;Revue architecturale obligatoire
abq-p3-v1-e64;abq-p3-v1;Programme;Très Complexe;3;18;27;Revue architecturale obligatoire
